=== SEMANTIC ANOMALIES ===
Records with >=1 semantic anomaly: 880

MAG-6000434 | extreme_ppsf | Mantri Elite | apartment | 3 BHK | bath 2 | carpet 106 | super 153 | price 19540000 | floor 23 / 26 | locality dlf phase 3 | live True | verified False
MAG-6003135 | 0BHK+0bath,0BHK_large_area,0/0_floor,carpet_equals_super | Aparna Elite Phase 1 | plot | 0 BHK | bath 0 | carpet 1678 | super 1678 | price 12580000 | floor 0 / 0 | locality sohna road | live True | verified True
100-6000354 | large_BHK_0parking | Salarpuria Elite | apartment | 4 BHK | bath 3 | carpet 1706 | super 2378 | price 31990000 | floor 5 / 23 | locality sector 82 | live True | verified False
100-6001848 | large_BHK_0balcony | Century Boulevard | builder floor | 4 BHK | bath 4 | carpet 1628 | super 2179 | price 18520000 | floor 0 / 18 | locality sohna road | live True | verified True
ZER-6000271 | large_BHK_0parking | Salarpuria Terraces | builder floor | 4 BHK | bath 3 | carpet 1515 | super 2151 | price 25500000 | floor 4 / 4 | locality sector 56 | live True | verified False
MAG-6002171 | extreme_ppsf | Mantri Terraces | apartment | 2 BHK | bath 1 | carpet 71 | super 96 | price 7470000 | floor 11 / 24 | locality golf course road | live True | verified False
SQU-6002761 | large_BHK_0parking | Rohan Terraces | apartment | 4 BHK | bath 3 | carpet 1528 | super 2133 | price 12640000 | floor 1 / 31 | locality sohna road | live True | verified True
MAG-6002598 | extreme_ppsf | Kolte Patil Willows | apartment | 2 BHK | bath 1 | carpet 78 | super 113 | price 12610000 | floor 7 / 7 | locality sector 65 | live True | verified True
MAG-6002463 | large_BHK_0balcony | Mantri Terraces | apartment | 4 BHK | bath 4 | carpet 1572 | super 2036 | price 28610000 | floor 6 / 6 | locality dwarka expressway | live False | verified True
MAG-6003185 | extreme_ppsf | Puravankara  Enclave | apartment | 1 BHK | bath 1 | carpet 43 | super 61 | price 5170000 | floor 6 / 13 | locality sector 49 | live True | verified False
SQU-6001485 | large_BHK_0parking | Godrej Heights | apartment | 4 BHK | bath 4 | carpet 1465 | super 1948 | price 13490000 | floor 5 / 10 | locality sector 56 | live True | verified False
ZER-6001789 | large_BHK_0parking | Lodha Residency | villa | 4 BHK | bath 3 | carpet 1558 | super 2233 | price 26540000 | floor 5 / 13 | locality golf course road | live False | verified True
DWE-6000010 | large_BHK_0balcony | Aparna Meadows | apartment | 4 BHK | bath 4 | carpet 2668 | super 2149 | price 25090000 | floor 21 / 24 | locality golf course road | live True | verified True
SQU-6001863 | 0BHK+0bath,0BHK_large_area,0/0_floor,carpet_equals_super | My Home Willows | plot | 0 BHK | bath 0 | carpet 1434 | super 1434 | price 8970000 | floor 0 / 0 | locality dwarka expressway | live True | verified False
MAG-6000702 | extreme_ppsf | Godrej Enclave | villa | 3 BHK | bath 3 | carpet 114 | super 151 | price 22300000 | floor 17 / 20 | locality dwarka expressway | live True | verified False
100-6000710 | house_many_floors | Godrej Vista | independent house | 3 BHK | bath 3 | carpet 1279 | super 1640 | price 17270000 | floor 2 / 25 | locality dlf phase 3 | live False | verified False
SQU-6003237 | house_many_floors | puravankara greens | independent house | 2 BHK | bath 2 | carpet 905 | super 1153 | price 9190000 | floor 8 / 29 | locality new gurgaon | live True | verified True
SQU-6003199 | house_many_floors | Nitesh  Pavilion | independent house | 4 BHK | bath 3 | carpet 1456 | super 1826 | price 14860000 | floor 7 / 15 | locality sector 65 | live True | verified True
SQU-6000646 | large_BHK_0balcony,large_BHK_0parking | Salarpuria Pavilion | apartment | 4 BHK | bath 4 | carpet 1504 | super 2132 | price 26290000 | floor 15 / 24 | locality sector 65 | live True | verified False
SQU-6000592 | large_BHK_0parking | Godrej Pavilion | apartment | 5 BHK | bath 4 | carpet 1913 | super 2589 | price 24000000 | floor 1 / 16 | locality dwarka expressway | live False | verified True
MAG-6003136 | extreme_ppsf | shriram serenity | apartment | 2 BHK | bath 1 | carpet 73 | super 104 | price 8720000 | floor 15 / 19 | locality sector 82 | live True | verified True
SQU-6003452 | house_many_floors | The Nitesh Willows | independent house | 2 BHK | bath 1 | carpet 893 | super 1289 | price 18920000 | floor 4 / 28 | locality dlf phase 3 | live True | verified True
ZER-6000960 | large_BHK_0balcony,large_BHK_0parking | Godrej Heights | apartment | 4 BHK | bath 3 | carpet 1562 | super 2022 | price 25980000 | floor 4 / 18 | locality dwarka expressway | live True | verified False
DWE-6001837 | 0BHK+0bath,0BHK_large_area,0/0_floor,carpet_equals_super | Casagrand Grand | plot | 0 BHK | bath 0 | carpet 1661 | super 1661 | price 19730000 | floor 0 / 0 | locality mg road | live False | verified True
100-6001678 | house_many_floors | My Home Vista | independent house | 3 BHK | bath 2 | carpet 1188 | super 1556 | price 22230000 | floor 23 / 23 | locality sector 49 | live True | verified True
DWE-6000904 | large_BHK_0parking,house_many_floors | Aparna Residency | independent house | 5 BHK | bath 5 | carpet 2035 | super 2947 | price 22130000 | floor 8 / 17 | locality dwarka expressway | live True | verified True
ZER-6003105 | house_many_floors | salarpuria terraces | independent house | 1 BHK | bath 1 | carpet 382 | super 486 | price 3560000 | floor 10 / 11 | locality golf course road | live True | verified True
MAG-6000599 | large_BHK_0parking | Sobha Elite | apartment | 4 BHK | bath 4 | carpet 1556 | super 1988 | price 16590000 | floor 22 / 23 | locality dwarka expressway | live False | verified False
MAG-6002634 | extreme_ppsf | Puravankara Residency | apartment | 3 BHK | bath 2 | carpet 110 | super 144 | price 12170000 | floor 0 / 14 | locality dwarka expressway | live True | verified False
MAG-6000913 | extreme_ppsf | Mantri Meadows | apartment | 2 BHK | bath 2 | carpet 76 | super 102 | price 11890000 | floor 2 / 15 | locality mg road | live True | verified True
ZER-6002481 | 0BHK+0bath,0BHK_large_area,0/0_floor,carpet_equals_super | Sobha Greens | plot | 0 BHK | bath 0 | carpet 1180 | super 1180 | price 8960000 | floor 0 / 0 | locality sector 49 | live False | verified True
MAG-6001636 | extreme_ppsf | Sobha Residency | builder floor | 4 BHK | bath 3 | carpet 137 | super 173 | price 14600000 | floor 1 / 29 | locality sector 49 | live True | verified False
ZER-6002019 | 0BHK+0bath,0BHK_large_area,0/0_floor,carpet_equals_super | Sobha Park | plot | 0 BHK | bath 0 | carpet 1922 | super 1922 | price 12730000 | floor 0 / 0 | locality golf course road | live True | verified True
ZER-6000410 | house_many_floors | Salarpuria Terraces | independent house | 1 BHK | bath 1 | carpet 385 | super 490 | price 6050000 | floor 10 / 11 | locality golf course road | live True | verified True
MAG-6001188 | extreme_ppsf | Prestige Sanctuary | apartment | 1 BHK | bath 1 | carpet 44 | super 56 | price 8480000 | floor 3 / 12 | locality sector 82 | live True | verified False
SQU-6001619 | 0BHK+0bath,0BHK_large_area,0/0_floor,carpet_equals_super | Casagrand Vista | plot | 0 BHK | bath 0 | carpet 1949 | super 1949 | price 12480000 | floor 0 / 0 | locality mg road | live True | verified True
MAG-6002377 | extreme_ppsf | My Home Vista | apartment | 2 BHK | bath 1 | carpet 82 | super 117 | price 16590000 | floor 23 / 23 | locality sector 56 | live False | verified False
SQU-6001516 | large_BHK_0parking | Brigade Park | apartment | 4 BHK | bath 3 | carpet 1448 | super 2056 | price 13540000 | floor 0 / 4 | locality sohna road | live True | verified True
SQU-6001165 | 0BHK+0bath,0BHK_large_area,0/0_floor,carpet_equals_super | Nitesh Greens | plot | 0 BHK | bath 0 | carpet 1185 | super 1185 | price 12630000 | floor 0 / 0 | locality dlf phase 3 | live True | verified False
MAG-6003129 | extreme_ppsf | PRESTIGE MEADOWS | apartment | 2 BHK | bath 2 | carpet 79 | super 109 | price 15000000 | floor 15 / 23 | locality mg road | live True | verified False
SQU-6000112 | large_BHK_0parking | Puravankara Habitat | apartment | 4 BHK | bath 3 | carpet 1663 | super 2332 | price 26230000 | floor 2 / 6 | locality mg road | live True | verified True
100-6003361 | 0BHK+0bath,0BHK_large_area,0/0_floor,carpet_equals_super | Shriram Willows Phase 1 | plot | 0 BHK | bath 0 | carpet 2201 | super 2201 | price 16870000 | floor 0 / 0 | locality dwarka expressway | live True | verified True
MAG-6003411 | extreme_ppsf | Puravankara-Enclave | apartment | 3 BHK | bath 3 | carpet 110 | super 145 | price 16490000 | floor 23 / 27 | locality sector 49 | live True | verified False
MAG-6000458 | house_many_floors,extreme_ppsf | Brigade Heights | independent house | 3 BHK | bath 3 | carpet 112 | super 151 | price 15490000 | floor 25 / 29 | locality sohna road | live True | verified True
SQU-6002999 | house_many_floors | Rohan Elite | independent house | 2 BHK | bath 2 | carpet 885 | super 1145 | price 13660000 | floor 6 / 20 | locality sector 56 | live False | verified True
MAG-6000368 | extreme_ppsf | Brigade Park | apartment | 4 BHK | bath 3 | carpet 148 | super 209 | price 26690000 | floor 5 / 7 | locality dwarka expressway | live True | verified True
MAG-6000449 | extreme_ppsf | Assetz Sanctuary | apartment | 2 BHK | bath 1 | carpet 88 | super 117 | price 18250000 | floor 3 / 18 | locality sector 49 | live True | verified False
SQU-6002331 | house_many_floors | Casagrand Boulevard | independent house | 2 BHK | bath 1 | carpet 853 | super 1093 | price 15680000 | floor 14 / 30 | locality new gurgaon | live True | verified False
ZER-6000804 | large_BHK_0balcony,large_BHK_0parking | Puravankara Woods | apartment | 4 BHK | bath 3 | carpet 1535 | super 2160 | price 28040000 | floor 2 / 7 | locality mg road | live True | verified False
MAG-6002273 | large_BHK_0balcony,large_BHK_0parking,extreme_ppsf | Sobha Park | apartment | 4 BHK | bath 3 | carpet 141 | super 203 | price 15980000 | floor 6 / 17 | locality new gurgaon | live True | verified False
ZER-6000699 | large_BHK_0balcony | Brigade Sanctuary | apartment | 4 BHK | bath 4 | carpet 1645 | super 2190 | price 32110000 | floor 2 / 10 | locality sohna road | live True | verified True
MAG-6001733 | large_BHK_0balcony,extreme_ppsf | Godrej Woods | apartment | 4 BHK | bath 4 | carpet 132 | super 182 | price 28130000 | floor 8 / 13 | locality sohna road | live True | verified True
SQU-6001084 | large_BHK_0balcony | Adarsh Grand | apartment | 4 BHK | bath 3 | carpet 1523 | super 2038 | price 30190000 | floor 2 / 15 | locality golf course road | live True | verified True
100-6000439 | large_BHK_0balcony | Lodha Pavilion | builder floor | 4 BHK | bath 3 | carpet 1586 | super 2222 | price 12260000 | floor 14 / 20 | locality sohna road | live True | verified True
DWE-6001347 | house_many_floors | Puravankara Enclave | independent house | 1 BHK | bath 1 | carpet 415 | super 568 | price 6940000 | floor 1 / 14 | locality sector 82 | live True | verified False
MAG-6002022 | extreme_ppsf | Aparna Pavilion | villa | 3 BHK | bath 2 | carpet 111 | super 153 | price 18610000 | floor 3 / 20 | locality sector 65 | live True | verified True
ZER-6002978 | large_BHK_0balcony | Kolte Patil Terraces | apartment | 4 BHK | bath 4 | carpet 1532 | super 2065 | price 18220000 | floor 9 / 28 | locality new gurgaon | live True | verified True
SQU-6003489 | house_many_floors | Salarpuria Sanctuary Apartments | independent house | 2 BHK | bath 2 | carpet 800 | super 1111 | price 15300000 | floor 1 / 14 | locality sohna road | live False | verified False
100-6001877 | large_BHK_0balcony,large_BHK_0parking | Brigade Enclave | apartment | 4 BHK | bath 3 | carpet 1505 | super 1996 | price 13460000 | floor 1 / 4 | locality dwarka expressway | live True | verified False
100-6002899 | large_BHK_0balcony | My Home Vista | apartment | 4 BHK | bath 3 | carpet 1638 | super 2310 | price 15370000 | floor 3 / 8 | locality new gurgaon | live False | verified False
MAG-6000143 | extreme_ppsf | Casagrand Elite | apartment | 1 BHK | bath 1 | carpet 43 | super 62 | price 6100000 | floor 16 / 27 | locality sector 56 | live True | verified False
MAG-6002499 | extreme_ppsf | Salarpuria Residency | apartment | 3 BHK | bath 3 | carpet 109 | super 140 | price 15990000 | floor 2 / 11 | locality new gurgaon | live True | verified True
ZER-6002666 | 0BHK+0bath,0BHK_large_area,0/0_floor,carpet_equals_super | Rohan Vista | plot | 0 BHK | bath 0 | carpet 1624 | super 1624 | price 17710000 | floor 0 / 0 | locality sector 82 | live True | verified True
MAG-6000820 | extreme_ppsf | Mantri Crest | apartment | 3 BHK | bath 3 | carpet 120 | super 154 | price 22790000 | floor 17 / 30 | locality sector 82 | live True | verified True
100-6000489 | house_many_floors | Adarsh Crest | independent house | 3 BHK | bath 3 | carpet 1248 | super 1758 | price 20920000 | floor 2 / 11 | locality sector 49 | live True | verified True
ZER-6002474 | house_many_floors | Adarsh Enclave | independent house | 3 BHK | bath 2 | carpet 1181 | super 1703 | price 20230000 | floor 2 / 23 | locality mg road | live True | verified False
MAG-6000029 | extreme_ppsf | Prestige Woods | apartment | 1 BHK | bath 1 | carpet 47 | super 63 | price 6440000 | floor 8 / 10 | locality sohna road | live True | verified True
ZER-6000289 | large_BHK_0parking | Assetz Heights | apartment | 4 BHK | bath 3 | carpet 1536 | super 2204 | price 23960000 | floor 6 / 32 | locality sector 65 | live True | verified False
MAG-6000781 | house_many_floors | Assetz Sanctuary | independent house | 4 BHK | bath 3 | carpet 1629 | super 2327 | price 28850000 | floor 6 / 24 | locality new gurgaon | live True | verified True
ZER-6003216 | house_many_floors | Aparna-Crest | independent house | 2 BHK | bath 2 | carpet 830 | super 1037 | price 10510000 | floor 19 / 25 | locality new gurgaon | live True | verified False
MAG-6003266 | large_BHK_0balcony,extreme_ppsf | Sobha Habitat Phase 1 | apartment | 5 BHK | bath 4 | carpet 168 | super 216 | price 32390000 | floor 2 / 12 | locality dwarka expressway | live True | verified True
100-6000531 | large_BHK_0parking | Mantri Park | apartment | 4 BHK | bath 4 | carpet 1536 | super 2147 | price 24070000 | floor 2 / 16 | locality sector 65 | live True | verified False
MAG-6001011 | extreme_ppsf | Casagrand Meadows | apartment | 3 BHK | bath 3 | carpet 107 | super 137 | price 15430000 | floor 12 / 18 | locality sohna road | live True | verified True
MAG-6000386 | extreme_ppsf | Puravankara Heights | apartment | 2 BHK | bath 1 | carpet 72 | super 103 | price 11050000 | floor 1 / 20 | locality sector 56 | live False | verified False
ZER-6002867 | large_BHK_0balcony | Adarsh Serenity | apartment | 4 BHK | bath 4 | carpet 1548 | super 2068 | price 23220000 | floor 2 / 29 | locality sector 65 | live True | verified True
100-6002489 | house_many_floors | Aparna Elite | independent house | 2 BHK | bath 1 | carpet 901 | super 1139 | price 7750000 | floor 31 / 32 | locality sector 56 | live True | verified True
ZER-6002224 | house_many_floors | Century Grand | independent house | 3 BHK | bath 3 | carpet 1229 | super 1750 | price 23920000 | floor 18 / 24 | locality mg road | live False | verified True
DWE-6002725 | large_BHK_0parking | Puravankara Greens | villa | 4 BHK | bath 4 | carpet 1524 | super 1949 | price 17750000 | floor 18 / 29 | locality new gurgaon | live False | verified False
MAG-6001846 | extreme_ppsf | Brigade Habitat | apartment | 3 BHK | bath 3 | carpet 115 | super 149 | price 17410000 | floor 0 / 9 | locality sector 56 | live True | verified True
MAG-6000327 | extreme_ppsf | Prestige Terraces | apartment | 3 BHK | bath 3 | carpet 106 | super 145 | price 14170000 | floor 6 / 8 | locality sector 49 | live True | verified False
MAG-6000171 | house_many_floors | Nitesh Park | independent house | 3 BHK | bath 3 | carpet 1264 | super 1732 | price 14280000 | floor 10 / 32 | locality sector 49 | live True | verified False
SQU-6002254 | large_BHK_0parking | Assetz Heights | apartment | 4 BHK | bath 3 | carpet 1563 | super 2079 | price 29010000 | floor 20 / 22 | locality sector 65 | live True | verified True
100-6000682 | large_BHK_0balcony | Adarsh Grand | apartment | 5 BHK | bath 4 | carpet 1729 | super 2416 | price 23480000 | floor 14 / 15 | locality sector 65 | live False | verified False
SQU-6002309 | large_BHK_0parking | Shriram Elite | apartment | 4 BHK | bath 3 | carpet 1666 | super 2325 | price 21780000 | floor 5 / 5 | locality sector 65 | live False | verified False
MAG-6002585 | extreme_ppsf | Puravankara Boulevard | apartment | 3 BHK | bath 3 | carpet 110 | super 149 | price 22160000 | floor 7 / 15 | locality dwarka expressway | live True | verified True
SQU-6003020 | 0BHK+0bath,0BHK_large_area,0/0_floor,carpet_equals_super | Mantri Terraces | plot | 0 BHK | bath 0 | carpet 2364 | super 2364 | price 18460000 | floor 0 / 0 | locality sector 65 | live True | verified True
MAG-6001933 | extreme_ppsf | Century Park | apartment | 4 BHK | bath 4 | carpet 145 | super 188 | price 27470000 | floor 17 / 30 | locality golf course road | live True | verified False
SQU-6003254 | large_BHK_0balcony,large_BHK_0parking | The Shriram Pavilion | apartment | 5 BHK | bath 5 | carpet 1956 | super 2714 | price 26590000 | floor 21 / 25 | locality sector 82 | live False | verified True
ZER-6000514 | large_BHK_0parking | Shriram Elite | apartment | 4 BHK | bath 3 | carpet 1555 | super 2248 | price 15380000 | floor 10 / 32 | locality sector 49 | live True | verified True
ZER-6001234 | 0BHK+0bath,0BHK_large_area,0/0_floor,carpet_equals_super | Prestige Woods | plot | 0 BHK | bath 0 | carpet 1771 | super 1771 | price 17300000 | floor 0 / 0 | locality dlf phase 3 | live False | verified False
SQU-6002542 | large_BHK_0parking,house_many_floors | Lodha Grand | independent house | 4 BHK | bath 3 | carpet 1545 | super 2009 | price 13200000 | floor 11 / 18 | locality sohna road | live True | verified False
MAG-6000203 | 0BHK+0bath,0BHK_large_area,0/0_floor,carpet_equals_super | Adarsh Park | plot | 0 BHK | bath 0 | carpet 2318 | super 2318 | price 13990000 | floor 0 / 0 | locality sector 65 | live True | verified True
DWE-6000974 | large_BHK_0parking | Nitesh Boulevard | apartment | 4 BHK | bath 4 | carpet 1455 | super 1999 | price 19190000 | floor 18 / 32 | locality dlf phase 3 | live True | verified True
MAG-6002253 | house_many_floors | Casagrand Boulevard | independent house | 3 BHK | bath 2 | carpet 1265 | super 1591 | price 19310000 | floor 4 / 14 | locality dwarka expressway | live True | verified False
ZER-6001659 | large_BHK_0parking | Mantri Boulevard | apartment | 4 BHK | bath 4 | carpet 1539 | super 2206 | price 14830000 | floor 4 / 15 | locality sector 56 | live False | verified True
MAG-6000843 | extreme_ppsf | Salarpuria Meadows | builder floor | 1 BHK | bath 1 | carpet 46 | super 62 | price 6040000 | floor 23 / 27 | locality new gurgaon | live True | verified True
MAG-6002165 | extreme_ppsf | Kolte Patil Habitat | apartment | 3 BHK | bath 2 | carpet 114 | super 162 | price 14730000 | floor 20 / 25 | locality dwarka expressway | live True | verified True
100-6001814 | house_many_floors | Sobha Serenity | independent house | 3 BHK | bath 3 | carpet 1216 | super 1547 | price 16700000 | floor 29 / 32 | locality sector 65 | live False | verified False
100-6003059 | large_BHK_0balcony | Mantri-Elite | apartment | 5 BHK | bath 5 | carpet 1943 | super 2655 | price 28250000 | floor 0 / 6 | locality golf course road | live True | verified False
MAG-6000813 | house_many_floors,extreme_ppsf | Shriram Meadows | independent house | 3 BHK | bath 3 | carpet 112 | super 155 | price 14620000 | floor 13 / 17 | locality sector 49 | live True | verified True
MAG-6002772 | large_BHK_0parking | Assetz Heights | apartment | 4 BHK | bath 4 | carpet 1604 | super 2210 | price 18890000 | floor 6 / 12 | locality golf course road | live False | verified True
SQU-6002613 | 0BHK+0bath,0BHK_large_area,0/0_floor,carpet_equals_super | Rohan Residency | plot | 0 BHK | bath 0 | carpet 1820 | super 1820 | price 17750000 | floor 0 / 0 | locality sector 56 | live True | verified True
SQU-6000914 | large_BHK_0balcony,large_BHK_0parking | Nitesh Sanctuary | apartment | 4 BHK | bath 4 | carpet 1442 | super 1830 | price 14670000 | floor 12 / 19 | locality sohna road | live True | verified True
MAG-6002425 | extreme_ppsf | Rohan Sanctuary | builder floor | 3 BHK | bath 2 | carpet 108 | super 152 | price 11720000 | floor 4 / 15 | locality golf course road | live True | verified True
100-6001748 | large_BHK_0balcony | Mantri Boulevard | apartment | 4 BHK | bath 3 | carpet 1562 | super 2138 | price 22780000 | floor 8 / 17 | locality golf course road | live True | verified True
100-6001763 | large_BHK_0balcony | Lodha Habitat | apartment | 4 BHK | bath 3 | carpet 1501 | super 1885 | price 16510000 | floor 7 / 23 | locality sohna road | live True | verified False
MAG-6000375 | house_many_floors,extreme_ppsf | Brigade Meadows | independent house | 3 BHK | bath 3 | carpet 112 | super 145 | price 13700000 | floor 0 / 18 | locality sohna road | live True | verified False
SQU-6001836 | 0BHK+0bath,0BHK_large_area | Shriram Meadows | apartment | 0 BHK | bath 0 | carpet 891 | super 1284 | price 12450000 | floor 4 / 8 | locality mg road | live True | verified True
100-6002984 | large_BHK_0parking | Mantri Sanctuary | apartment | 4 BHK | bath 4 | carpet 1544 | super 1997 | price 21730000 | floor 6 / 30 | locality sohna road | live True | verified True
MAG-6001365 | extreme_ppsf | Puravankara Park | apartment | 2 BHK | bath 2 | carpet 76 | super 108 | price 16590000 | floor 12 / 18 | locality new gurgaon | live False | verified True
100-6000419 | house_many_floors | My Home Greens | independent house | 3 BHK | bath 3 | carpet 1087 | super 1431 | price 19270000 | floor 7 / 25 | locality sector 65 | live True | verified False
MAG-6001013 | large_BHK_0balcony,extreme_ppsf | Shriram Residency | apartment | 4 BHK | bath 4 | carpet 135 | super 172 | price 21600000 | floor 18 / 18 | locality dlf phase 3 | live True | verified True
100-6002859 | large_BHK_0parking | Prestige Pavilion | apartment | 4 BHK | bath 4 | carpet 1567 | super 2137 | price 24690000 | floor 4 / 7 | locality sector 82 | live True | verified False
ZER-6000152 | 0BHK+0bath,0BHK_large_area,0/0_floor,carpet_equals_super | Shriram Willows | plot | 0 BHK | bath 0 | carpet 2202 | super 2202 | price 16230000 | floor 0 / 0 | locality dwarka expressway | live True | verified True
100-6000939 | house_many_floors | Sobha Crest | independent house | 3 BHK | bath 2 | carpet 1162 | super 1603 | price 12260000 | floor 11 / 23 | locality sector 65 | live True | verified False
MAG-6001451 | large_BHK_0parking,extreme_ppsf | Puravankara Boulevard | apartment | 5 BHK | bath 5 | carpet 172 | super 220 | price 25340000 | floor 6 / 28 | locality sector 56 | live True | verified True
SQU-6003354 | large_BHK_0balcony | The Mantri Terraces | apartment | 4 BHK | bath 4 | carpet 1585 | super 2033 | price 30500000 | floor 6 / 6 | locality dwarka expressway | live True | verified True
100-6002001 | house_many_floors | Puravankara Crest | independent house | 2 BHK | bath 1 | carpet 908 | super 1142 | price 13430000 | floor 22 / 27 | locality new gurgaon | live True | verified True
MAG-6000886 | extreme_ppsf | Rohan Terraces | builder floor | 4 BHK | bath 4 | carpet 136 | super 193 | price 28540000 | floor 7 / 10 | locality sector 65 | live True | verified True
ZER-6002638 | house_many_floors | Adarsh Sanctuary | independent house | 2 BHK | bath 1 | carpet 775 | super 975 | price 10770000 | floor 2 / 15 | locality sector 56 | live True | verified False
ZER-6001865 | large_BHK_0balcony | Mantri Woods | apartment | 4 BHK | bath 4 | carpet 1459 | super 1830 | price 22500000 | floor 0 / 8 | locality sector 56 | live True | verified True
ZER-6001060 | large_BHK_0balcony | Puravankara Boulevard | villa | 4 BHK | bath 3 | carpet 1518 | super 1934 | price 17570000 | floor 28 / 29 | locality sector 49 | live True | verified False
100-6001175 | large_BHK_0parking | Adarsh Serenity | apartment | 4 BHK | bath 4 | carpet 1544 | super 1998 | price 18210000 | floor 28 / 28 | locality sohna road | live False | verified True
SQU-6002024 | large_BHK_0parking | Puravankara Grand | apartment | 5 BHK | bath 5 | carpet 1928 | super 2428 | price 25050000 | floor 1 / 6 | locality sohna road | live True | verified True
SQU-6001298 | house_many_floors | Salarpuria Enclave | independent house | 2 BHK | bath 1 | carpet 784 | super 1083 | price 8180000 | floor 1 / 15 | locality mg road | live False | verified False
SQU-6000752 | large_BHK_0balcony | My Home Residency | apartment | 5 BHK | bath 4 | carpet 1924 | super 2668 | price 36190000 | floor 0 / 8 | locality mg road | live True | verified True
MAG-6002750 | extreme_ppsf | Assetz Pavilion | apartment | 3 BHK | bath 3 | carpet 107 | super 141 | price 13910000 | floor 22 / 23 | locality golf course road | live True | verified True
SQU-6000421 | large_BHK_0parking | Puravankara Meadows | apartment | 5 BHK | bath 5 | carpet 1924 | super 2609 | price 31670000 | floor 1 / 25 | locality golf course road | live False | verified True
MAG-6001460 | extreme_ppsf | Shriram Vista | apartment | 3 BHK | bath 2 | carpet 109 | super 151 | price 16040000 | floor 10 / 16 | locality sector 82 | live True | verified False
ZER-6000515 | large_BHK_0parking | Lodha Serenity | builder floor | 5 BHK | bath 4 | carpet 1855 | super 2399 | price 29190000 | floor 22 / 30 | locality sector 82 | live True | verified False
MAG-6001889 | extreme_ppsf | Godrej Residency | apartment | 3 BHK | bath 3 | carpet 115 | super 147 | price 12690000 | floor 23 / 25 | locality sector 49 | live True | verified False
ZER-6001717 | large_BHK_0balcony | Lodha Crest | villa | 4 BHK | bath 4 | carpet 1531 | super 1935 | price 28750000 | floor 4 / 31 | locality sector 49 | live True | verified True
MAG-6001932 | house_many_floors | Sobha Pavilion | independent house | 3 BHK | bath 3 | carpet 1228 | super 1669 | price 16630000 | floor 6 / 14 | locality new gurgaon | live True | verified False
100-6003293 | house_many_floors | ASSETZ SERENITY | independent house | 2 BHK | bath 2 | carpet 848 | super 1097 | price 10740000 | floor 0 / 27 | locality sector 49 | live False | verified True
ZER-6002668 | house_many_floors | Kolte Patil Residency | independent house | 3 BHK | bath 3 | carpet 1225 | super 1646 | price 20700000 | floor 0 / 30 | locality sector 49 | live True | verified True
MAG-6003168 | extreme_ppsf | puravankara enclave | apartment | 3 BHK | bath 3 | carpet 111 | super 145 | price 16610000 | floor 23 / 27 | locality sector 49 | live True | verified False
MAG-6000438 | extreme_ppsf | My Home Serenity | apartment | 2 BHK | bath 2 | carpet 80 | super 115 | price 16890000 | floor 1 / 6 | locality sector 56 | live True | verified True
ZER-6001439 | house_many_floors | Puravankara Sanctuary | independent house | 3 BHK | bath 2 | carpet 1241 | super 1658 | price 13740000 | floor 19 / 29 | locality sector 49 | live True | verified False
MAG-6001423 | large_BHK_0balcony,extreme_ppsf | Casagrand Sanctuary | apartment | 4 BHK | bath 3 | carpet 151 | super 205 | price 30950000 | floor 16 / 21 | locality mg road | live True | verified False
DWE-6000115 | large_BHK_0balcony | Puravankara Elite | apartment | 5 BHK | bath 5 | carpet 1817 | super 2344 | price 26550000 | floor 4 / 8 | locality golf course road | live False | verified False
MAG-6000066 | extreme_ppsf | Century Greens | apartment | 3 BHK | bath 2 | carpet 100 | super 129 | price 13590000 | floor 4 / 15 | locality new gurgaon | live False | verified True
DWE-6003233 | large_BHK_0parking | The Rohan Greens | apartment | 4 BHK | bath 3 | carpet 1552 | super 2108 | price 16380000 | floor 9 / 16 | locality new gurgaon | live True | verified False
ZER-6002560 | house_many_floors | Rohan Habitat | independent house | 3 BHK | bath 2 | carpet 1145 | super 1438 | price 18150000 | floor 5 / 14 | locality sector 49 | live True | verified False
100-6000991 | 0BHK+0bath,0BHK_large_area,0/0_floor,carpet_equals_super | Sobha Terraces | plot | 0 BHK | bath 0 | carpet 1411 | super 1411 | price 11420000 | floor 0 / 0 | locality sector 65 | live False | verified False
100-6000892 | large_BHK_0parking | Mantri Sanctuary | apartment | 5 BHK | bath 5 | carpet 1868 | super 2496 | price 35860000 | floor 3 / 6 | locality sector 82 | live True | verified False
MAG-6001289 | extreme_ppsf | Adarsh Serenity | apartment | 3 BHK | bath 2 | carpet 109 | super 141 | price 14300000 | floor 0 / 28 | locality sohna road | live False | verified False
MAG-6001685 | extreme_ppsf | Rohan Park | apartment | 1 BHK | bath 1 | carpet 46 | super 58 | price 7320000 | floor 9 / 13 | locality sohna road | live True | verified True
MAG-6002671 | extreme_ppsf | Sobha Woods | apartment | 3 BHK | bath 2 | carpet 115 | super 148 | price 20650000 | floor 11 / 21 | locality sohna road | live True | verified True
100-6000994 | large_BHK_0parking | Sobha Vista | apartment | 5 BHK | bath 5 | carpet 1884 | super 2610 | price 29000000 | floor 3 / 8 | locality sector 65 | live True | verified True
DWE-6002426 | house_many_floors | Assetz Enclave | independent house | 4 BHK | bath 3 | carpet 1602 | super 2028 | price 18170000 | floor 3 / 16 | locality new gurgaon | live True | verified True
